,Zip Code,total_rate,state_rate,city_rate,county_rate,additional_rate,Official USPS city name,Official State Name,Population,Density,Primary Official County Code,Primary Official County Name,Geo Point
0,90005.0,0.095,0.06,0.0,0.0025,0.0325,Los Angeles,California,39732.0,14151.8,6037,Los Angeles,"34.05912, -118.30654"
1,90006.0,0.095,0.06,0.0,0.0025,0.0325,Los Angeles,California,59576.0,11981.7,6037,Los Angeles,"34.04801, -118.29418"
2,90008.0,0.095,0.06,0.0,0.0025,0.0325,Los Angeles,California,31754.0,3337.9,6037,Los Angeles,"34.00956, -118.34706"
3,90040.0,0.1025,0.06,0.0075,0.0025,0.0325,Los Angeles,California,12328.0,852.8,6037,Los Angeles,"33.99353, -118.14907"
4,90045.0,0.1025,0.06,0.0075,0.0025,0.0325,Los Angeles,California,40567.0,1459.6,6037,Los Angeles,"33.95297, -118.40014"
5,90401.0,0.1025,0.06,0.01,0.0025,0.03,Santa Monica,California,7111.0,3235.2,6037,Los Angeles,"34.01545, -118.49248"
6,90504.0,0.1025,0.06,0.0075,0.0025,0.0325,Torrance,California,33410.0,2898.2,6037,Los Angeles,"33.86682, -118.33115"
7,90717.0,0.1025,0.06,0.0075,0.0025,0.0325,Lomita,California,21508.0,4191.7,6037,Los Angeles,"33.79383, -118.3172"
8,90808.0,0.1025,0.06,0.01,0.0025,0.03,Long Beach,California,39330.0,2210.0,6037,Los Angeles,"33.82406, -118.11239"
9,91214.0,0.1025,0.06,0.0075,0.0025,0.0325,La Crescenta,California,30787.0,1575.2,6037,Los Angeles,"34.23671, -118.24925"
10,91324.0,0.095,0.06,0.0,0.0025,0.0325,Northridge,California,29670.0,2609.8,6037,Los Angeles,"34.23901, -118.54958"
11,91331.0,0.095,0.06,0.0,0.0025,0.0325,Pacoima,California,105458.0,4599.4,6037,Los Angeles,"34.25562, -118.42076"
12,91371.0,0.095,0.06,0.0,0.0025,0.0325,Woodland Hills,California,0.0,0.0,6037,Los Angeles,"34.18459, -118.57636"
13,91384.0,0.095,0.06,0.0,0.0025,0.0325,Castaic,California,29212.0,103.9,6037,Los Angeles,"34.53072, -118.68639"
14,91730.0,0.0775,0.06,0.0,0.0025,0.015,Rancho Cucamonga,California,72407.0,1930.1,6071,San Bernardino,"34.09955, -117.57847"
15,91762.0,0.09,0.06,0.0125,0.0025,0.015,Ontario,California,61718.0,1745.8,6071,San Bernardino,"34.02905, -117.64478"
16,92007.0,0.0775,0.06,0.0,0.0025,0.015,Cardiff By The Sea,California,11417.0,1797.5,6073,San Diego,"33.0219, -117.2735"
17,92081.0,0.0825,0.06,0.005,0.0025,0.015,Vista,California,29596.0,1287.3,6073,San Diego,"33.16431, -117.24028"
18,92113.0,0.0875,0.06,0.01,0.0025,0.015,San Diego,California,58408.0,4282.1,6073,San Diego,"32.69602, -117.11817"
19,92114.0,0.0875,0.06,0.01,0.0025,0.015,San Diego,California,68851.0,3226.9,6073,San Diego,"32.70776, -117.0551"
20,92118.0,0.0775,0.06,0.0,0.0025,0.015,Coronado,California,22548.0,1116.5,6073,San Diego,"32.67487, -117.17866"
21,92250.0,0.0775,0.06,0.0,0.0025,0.015,Holtville,California,8655.0,8.1,6025,Imperial,"32.82385, -115.23944"
22,92284.0,0.0875,0.06,0.01,0.0025,0.015,Yucca Valley,California,26182.0,91.8,6071,San Bernardino,"34.18604, -116.43234"
23,92305.0,0.0775,0.06,0.0,0.0025,0.015,Angelus Oaks,California,657.0,2.5,6071,San Bernardino,"34.16326, -116.82868"
24,92384.0,0.0775,0.06,0.0,0.0025,0.015,Shoshone,California,17.0,0.0,6027,Inyo,"36.0125, -116.17791"
25,92660.0,0.0775,0.06,0.0,0.0025,0.015,Newport Beach,California,35446.0,1400.9,6059,Orange,"33.63374, -117.87449"
26,92662.0,0.0775,0.06,0.0,0.0025,0.015,Newport Beach,California,2519.0,4670.0,6059,Orange,"33.60547, -117.89204"
27,93103.0,0.0875,0.06,0.01,0.0025,0.015,Santa Barbara,California,20538.0,1513.6,6083,Santa Barbara,"34.438, -119.68057"
28,93117.0,0.0875,0.06,0.01,0.0025,0.015,Goleta,California,58546.0,132.9,6083,Santa Barbara,"34.49127, -120.08221"
29,93221.0,0.0875,0.06,0.01,0.0025,0.015,Exeter,California,14129.0,41.4,6107,Tulare,"36.29501, -119.02605"
30,93962.0,0.0775,0.06,0.0,0.0025,0.015,Spreckels,California,414.0,1308.6,6053,Monterey,"36.62471, -121.64649"
31,94117.0,0.08625,0.06,0.0,0.0025,0.02375,San Francisco,California,44650.0,10210.2,6075,San Francisco,"37.76975, -122.44823"
32,94507.0,0.0875,0.06,0.0,0.0025,0.025,Alamo,California,15105.0,459.4,6013,Contra Costa,"37.85042, -122.02108"
33,94535.0,0.08375,0.06,0.01,0.0025,0.01125,Travis Afb,California,3842.0,389.2,6095,Solano,"38.28467, -121.93269"
34,94803.0,0.0975,0.06,0.01,0.0025,0.025,El Sobrante,California,25893.0,856.1,6013,Contra Costa,"37.95953, -122.28365"
35,94904.0,0.0925,0.06,0.01,0.0025,0.02,Greenbrae,California,12994.0,693.0,6041,Marin,"37.94522, -122.56278"
36,94928.0,0.095,0.06,0.01,0.0025,0.0225,Rohnert Park,California,44323.0,2221.5,6097,Sonoma,"38.3464, -122.69419"
37,94947.0,0.085,0.06,0.0025,0.0025,0.02,Novato,California,25867.0,440.1,6041,Marin,"38.11324, -122.62972"
38,95003.0,0.09,0.06,0.0,0.0025,0.0275,Aptos,California,25185.0,277.0,6087,Santa Cruz,"37.01015, -121.87763"
39,95045.0,0.09,0.06,0.0075,0.0025,0.02,San Juan Bautista,California,4217.0,34.3,6069,San Benito,"36.83417, -121.52738"
40,95070.0,0.09375,0.06,0.0025,0.0025,0.02875,Saratoga,California,31196.0,473.0,6085,Santa Clara,"37.25638, -122.04963"
41,95242.0,0.09,0.06,0.0125,0.0025,0.015,Lodi,California,26409.0,106.2,6077,San Joaquin,"38.13459, -121.39362"
42,95245.0,0.0725,0.06,0.0,0.0025,0.01,Mokelumne Hill,California,1717.0,9.7,6009,Calaveras,"38.29793, -120.6213"
43,95301.0,0.0825,0.06,0.005,0.0025,0.015,Atwater,California,39186.0,242.7,6047,Merced,"37.31796, -120.63372"
44,95355.0,0.07875,0.06,0.0,0.0025,0.01625,Modesto,California,59621.0,2428.5,6099,Stanislaus,"37.67283, -120.947"
45,95383.0,0.0725,0.06,0.0,0.0025,0.01,Twain Harte,California,3611.0,17.8,6109,Tuolumne,"38.10788, -120.23286"
46,95385.0,0.07875,0.06,0.0,0.0025,0.01625,Vernalis,California,415.0,6.5,6099,Stanislaus,"37.60949, -121.25116"
47,95555.0,0.0775,0.06,0.0,0.0025,0.015,Orick,California,437.0,2.0,6023,Humboldt,"41.3011, -123.99042"
48,95595.0,0.0725,0.06,0.0,0.0025,0.01,Zenia,California,139.0,0.2,6105,Trinity,"40.11671, -123.42455"
